ааб	AA P <SPACE>
аман	A M EH NG <SPACE>
амараад	A M EH R AA T <SPACE>
амаралтада	A M EH R EH L T EH D EH <SPACE>
амаралтадаа	A M EH R EH L T EH D AA <SPACE>
амаралтын	A M EH R EH L T Y NG <SPACE>
амардагби	A M EH R D EH G BJ I <SPACE>
амаржа	A M EH R ZH EH <SPACE>
амбаар	A M B AA R <SPACE>
амжалта	A M ZH EH L T EH <SPACE>
амжалтатайгаар	A M ZH EH L T EH T EE Gr AA R <SPACE>
амидардаг	A MJ I D EH R D EH K <SPACE>
амидарна	A MJ I D EH R N EH <SPACE>
амилжа	A MJ I L ZH EH <SPACE>
амилхада	A MJ I L H EH D EH <SPACE>
амисхаалаар	A MJ I S H AA L AA R <SPACE>
амитад	A MJ I T EH T <SPACE>
амитан	A MJ I T EH NG <SPACE>
амтархан	A M T EH R H EH NG <SPACE>
амтатай	A M T EH T EE <SPACE>
амударья	A M Uh D A RJ J EH <SPACE>
анастасия	A N EH S T EH SJ I J A <SPACE>
ангарск	A N G A R S K <SPACE>
андреевна	A N D RJ E J E V N A <SPACE>
андрей	A N D RJ E J <SPACE>
анна	A N EH <SPACE>
ансамблиин	A N S A M B LJ II NG <SPACE>
ансамбль	A N S A M B LJ <SPACE>
ансамбльтаяа	A N S A M B LJ T A <SPACE>
антоновна	A N T O N O V N A <SPACE>
анужд	A N Uh ZH T <SPACE>
анха	A N H EH <SPACE>
анхан	A N H EH NG <SPACE>
анхарал	A N H EH R EH L <SPACE>
анхаралаа	A N H EH R EH L AA <SPACE>
анхаралаашье	A N H EH R EH L AA SH J EH <SPACE>
апокалипсиса	A P O Gr A LJ I P SJ I S A <SPACE>
арад	A R EH T <SPACE>
арадай	A R EH D EE <SPACE>
арадайнгаа	A R EH D EE NG AA <SPACE>
арадтаа	A R EH D T AA <SPACE>
арадтаяа	A R EH D T EH J AA <SPACE>
арадуудай	A R EH D UUh D EE <SPACE>
арадуудые	A R EH D UUh D Y J EH <SPACE>
арба	A R V EH <SPACE>
арбагархан	A R V EH Gr EH R H EH NG <SPACE>
арбадахи	A R V EH D EH HJ I <SPACE>
арбан	A R V EH NG <SPACE>
арга	A R Gr EH <SPACE>
аргаар	A R Gr AA R <SPACE>
аргагүй	A R Gr EH Gr UIs <SPACE>
аргагүйгөөр	A R Gr EH Gr UIs Gr OOs R <SPACE>
аргагүйдэнэб	A R Gr EH Gr UIs D EH NJ <SPACE>
аргалжа	A R Gr EH L ZH EH <SPACE>
аргамгүй	A R Gr EH M G UIs <SPACE>
аргануудые	A R Gr EH N UUh D Y J EH <SPACE>
аргатай	A R Gr EH T EE <SPACE>
аргатайб	A R Gr EH T EE P <SPACE>
аргатайл	A R Gr EH T EE L <SPACE>
аргын	A R Gr Y NG <SPACE>
арендэ	A RJ E N D EH <SPACE>
арсалааб	A R S EH L AA P <SPACE>
арсалан	A R S EH L EH NG <SPACE>
арсалановтан	A R S EH L A F T EH NG <SPACE>
арсаһан	A R S EH HH EH NG <SPACE>
артист	A R TJ I S T <SPACE>
артистка	A R TJ I S T N A <SPACE>
артистнар	A R TJ I S T N EH R <SPACE>
артистнарай	A R TJ I S T N EH R EE <SPACE>
артистнартай	A R TJ I S T N EH R T EE <SPACE>
артистын	A R TJ I S T Y NG <SPACE>
архи	A R HJ I <SPACE>
архида	A R HJ I D EH <SPACE>
архитекторнүүд	A R HJ I TJ EH K T O HJ I T <SPACE>
архитектурна	A R HJ I TJ EH K T Uh R N K T Uh R N K T Uh <SPACE>
аршаан	A R SH AA NG <SPACE>
аршаанда	A R SH AA N D EH <SPACE>
аршажа	A R SH EH ZH EH <SPACE>
арюун	A RJ UUh NG <SPACE>
арюунтай	A RJ UUh N T EH T EE <SPACE>
арһа	A R HH EH <SPACE>
асараа	A S EH R AA <SPACE>
асараад	A S EH R AA T <SPACE>
асарагдаһан	A S EH R EH G D EH HH EH NG <SPACE>
асарба	A S EH R V EH <SPACE>
асарбат	A S EH R V EH T <SPACE>
асуудал	A S UUh D EH L <SPACE>
асуудалнууд	A S UUh D EH L N UUh T <SPACE>
асуудалнуудни	A S UUh D EH L N UUh D NJ I <SPACE>
асуудалые	A S UUh D EH L Y J EH <SPACE>
асууһааб	A S UUh HH AA P <SPACE>
ася	A S J AA <SPACE>
атаархадаг	A T AA R H EH D EH K <SPACE>
афганай	A F G A N EE <SPACE>
афганистан	A F G A NJ I S T A N <SPACE>
афиша	A FJ I SH A <SPACE>
аха	A H EH <SPACE>
ахайе	A H EE J EH <SPACE>
аханарынь	A H EH N EH R Y NJ <SPACE>
ахань	A H EH NJ <SPACE>
аша	A SH EH <SPACE>
ашаар	A SH AA R <SPACE>
ашагдаһан	A SH EH G D EH HH AA NJ <SPACE>
ашада	A SH EH D EH <SPACE>
ашанар	A SH EH N EH R <SPACE>
ашанууднай	A SH EH N UUh D N EE <SPACE>
аюр	A J Uh R <SPACE>
аюрова	A J Uh R O V A <SPACE>
аюша	A J Uh SH A <SPACE>
аюшеевшье	A J Uh SH Uh J EH F SH J EH <SPACE>
аяар	A J AA R <SPACE>
аяга	A J A Gr A <SPACE>
аялга	A J A L Gr EH <SPACE>
аялгаар	A J A L Gr AA R <SPACE>
аялганууд	A J A L Gr EH N UUh T <SPACE>
аян	A J A NG <SPACE>
аяншалан	A J A SH N A L EH NG <SPACE>
аяншалга	A J EH N SH EH L Gr EH <SPACE>
аяншалгада	A J A SH N A G SH EH L Gr EH D EH <SPACE>
аяншалгашье	A J EH N SH J EH L Gr EH SH J EH <SPACE>
ба	B A <SPACE>
баабай	B AA V EE <SPACE>
баар	B AA R <SPACE>
баатай	B AA T EE <SPACE>
баатарнуудаараа	B AA T EH R N UUh D AA R AA <SPACE>
бабасановна	B A V EH S A N O V N A <SPACE>
бабур	B A V Uh R <SPACE>
бага	B A Gr EH <SPACE>
багаар	B A Gr AA R <SPACE>
багааршье	B A Gr AA R SH J EH <SPACE>
багадаа	B A Gr EH D AA <SPACE>
багадаашье	B A Gr EH D AA SH J EH <SPACE>
багадаев	B A Gr EH D A J EH F <SPACE>
багахан	B A Gr EH H EH NG <SPACE>
багаһаа	B A Gr EH HH AA <SPACE>
багсаагдана	B A G S AA G D EH N EH <SPACE>
багтаагүй	B A G T AA Gr UIs <SPACE>
багтаажа	B A G T AA ZH EH <SPACE>
багтаамжа	B A G T AA M ZH EH <SPACE>
багтаамжын	B A G T AA M ZH Y NG <SPACE>
багша	B A G SH EH <SPACE>
багшаар	B A K SH AA R <SPACE>
багшалнаб	B A G SH EH L N EH P <SPACE>
багшанар	B A K SH EH N EH R <SPACE>
багшанарай	B A K SH EH N EE R EE <SPACE>
багшанартай	B A K SH EH N EH R T EE <SPACE>
багшанарһаа	B A K SH EH N EH R HH AA <SPACE>
багшань	B A K SH EH NJ <SPACE>
бадаржа	B A D EH ZH EH <SPACE>
бадаруулһан	B A D EH R UUh L HH EH NG <SPACE>
бадлуев	B A D L J EH F <SPACE>
бадлуевай	B A D L J EH V EE <SPACE>
бадмацыбикова	B A D M A C Y VJ I K O V A <SPACE>
базар	B A Z EH R <SPACE>
базаргуруев	B A Z EH Gr Y J EH F <SPACE>
базаржапова	B A Z EH R ZH A P O V A <SPACE>
базаровна	B A Z A R O V N A <SPACE>
баир	B A J EH R <SPACE>
бай	B EE <SPACE>
байба	B EE V EH <SPACE>
байбал	B EE V EH L <SPACE>
байг	B EE Gr <SPACE>
байгаа	B EE Gr AA <SPACE>
байгааб	B EE Gr AA P <SPACE>
байгаагүй	B EE Gr AA Gr UIs <SPACE>
байгаагүйб	B EE Gr AA Gr UIs P <SPACE>
байгаад	B EE Gr AA T <SPACE>
байгаали	B EE Gr AA LJ I <SPACE>
байгаалидаа	B EE Gr AA LJ I D AA <SPACE>
байгаалиин	B EE Gr AA LJ II NG <SPACE>
байгаалитай	B EE Gr AA LJ I T EH <SPACE>
байгаалиһаа	B EE Gr AA LJ I HH AA <SPACE>
байгааш	B EE Gr AA SH <SPACE>
байгал	B EE Gr EH L <SPACE>
байгуулагданхай	B EE Gr UUh L EH G D EH N H EE <SPACE>
байгуулга	B EE Gr UUh L Gr EH <SPACE>
байгуулһан	B EE Gr UUh L HH EH NG <SPACE>
байдаг	B EE D EH K <SPACE>
байдагыень	B EE D EH Gr Y J EH NJ <SPACE>
байдал	B EE D EH L <SPACE>
байдалаар	B EE D EH L AA R <SPACE>
байдалаараашье	B EE D EH L AA R AA SH J EH <SPACE>
байдалай	B EE D EH L EE <SPACE>
байдалда	B EE D EH L D EH <SPACE>
байдалтай	B EE D EH L T EE <SPACE>
байдалыень	B EE D EH L Y J EH NJ <SPACE>
байжа	B EE ZH EH <SPACE>
байлсаатай	B EE L S AA T EE <SPACE>
байна	B EE N EH <SPACE>
байнаб	B EE N EH P <SPACE>
байнабди	B EE N EH B DJ I <SPACE>
байнабта	B EE N EH B T EH <SPACE>
байналши	B EE N EH L SH Y <SPACE>
байнат	B EE N EH T <SPACE>
байнхаар	B EE N H AA R <SPACE>
байра	B EE R EH <SPACE>
байраар	B EE R AA R <SPACE>
байтараа	B EE T EH R AA <SPACE>
байтарнай	B EE T EH R N EE <SPACE>
байхада	B EE H EH D EH <SPACE>
байхадаа	B EE H EH D AA <SPACE>
байхадам	B EE H EH D EH M <SPACE>
байхадань	B EE H EH D EH NJ <SPACE>
байхал	B EE H EH L <SPACE>
байхаш	B EE H EH SH <SPACE>
байхаяа	B EE H EH J AA <SPACE>
байхаһаа	B EE H EH HH AA <SPACE>
байхын	B EE H Y NG <SPACE>
байшан	B EE SH EH NG <SPACE>
байшанай	B EE SH EH N EE <SPACE>
байшангай	B EE SH EH N G EE <SPACE>
байшангуудые	B EE SH EH NG UUh D Y J EH <SPACE>
байшангүй	B EE SH EH N G UIs <SPACE>
байшанда	B EE SH EH N D EH <SPACE>
байшандамнай	B EE SH EH N D EH M N EE <SPACE>
байһан	B EE HH EH NG <SPACE>
байһанаа	B EE HH EH N AA <SPACE>
байһаниинь	B EE HH EH NJ II NJ <SPACE>
байһаншье	B EE HH EH NG SH J EH <SPACE>
байһые	B EE HH Y J EH <SPACE>
байһыень	B EE HH Y J EH NJ <SPACE>
балай	B A L EE <SPACE>
балбар	B A L V EH R <SPACE>
баледэй	B A LJ E D EE <SPACE>
балет	B A LJ E T <SPACE>
балетмейстер	B A LJ E T MJ E J A M S TJ E <SPACE>
балетнэ	B A LJ E T N EH <SPACE>
баллаар	B A L AA R <SPACE>
балтын	B A L T Y NG <SPACE>
балшар	B A L SH EH R <SPACE>
бальжинима	B A LJ ZH Y NJ I M EH <SPACE>
бальжинимаевна	B A LJ ZH Y NJ I M EH J EH V N A <SPACE>
бамба	B A M B EH <SPACE>
банзаровай	B A N Z A R O V EE <SPACE>
бар	B A R <SPACE>
бараандаа	B A R AA N D AA <SPACE>
баргажан	B A R Gr EH ZH EH NG <SPACE>
барилга	B A RJ I L Gr EH <SPACE>
барилгын	B A RJ I L Gr Y NG <SPACE>
барилдаагаар	B A RJ I L D AA Gr AA R <SPACE>
барилдаанай	B A RJ I L D AA N EE <SPACE>
барилдаашадай	B A RJ I L D AA N D EH D EE <SPACE>
барилдаашан	B A RJ I L D AA SH EH NG <SPACE>
баримта	B A RJ I M T EH <SPACE>
барисаата	B A RJ I S AA T EH <SPACE>
бариха	B A RJ I H EH <SPACE>
барихаш	B A RJ I H EH SH <SPACE>
барихаһаа	B A RJ I H EH HH AA <SPACE>
баруун	B A R UUh NG <SPACE>
бархируулһан	B A R HJ I R UUh L HH EH NG <SPACE>
баряа	B A RJ AA <SPACE>
басагад	B A S EH Gr EH T <SPACE>
басагадаараа	B A S EH Gr EH D AA R AA <SPACE>
басагадта	B A S EH Gr EH T T EH <SPACE>
басагадые	B A S EH Gr EH D Y J EH <SPACE>
басагадынь	B A S EH Gr EH D Y NJ <SPACE>
басагамни	B A S EH Gr EH M NJ I <SPACE>
басаган	B A S EH Gr EH NG <SPACE>
басаганиинь	B A S EH Gr EH NJ II NJ <SPACE>
басагантай	B A S EH Gr EH N T EE <SPACE>
басагань	B A S EH Gr EH NJ <SPACE>
басагаханай	B A S EH Gr EH H EH N EE <SPACE>
басагаяа	B A S EH Gr EH J AA <SPACE>
баскетболистнуудай	B A S EH T B O LJ I T EE T <SPACE>
бата	B A T EH <SPACE>
баталжа	B A T EH L ZH EH <SPACE>
бато	B A T EH <SPACE>
батожапов	B A T EH ZH A P O V <SPACE>
баторова	B A T EH R O V A <SPACE>
баясуулба	B A J A S UUh L V EH <SPACE>
баялиг	B A J A LJ I K <SPACE>
баялигууд	B A J A LJ I Gr UUh T <SPACE>
баялигые	B A J A LJ I Gr Y J EH <SPACE>
баян	B A J A NG <SPACE>
баянгаза	B A J A NG EH Z EH <SPACE>
баянгазада	B A J A NG EH Z EH D EH <SPACE>
баяр	B A J EH R <SPACE>
баяраа	B A J A R AA <SPACE>
баярай	B A J A R EE <SPACE>
баярлааб	B A J EH R L AA P <SPACE>
баярлаабди	B A J EH R L EH V AA R NJ I <SPACE>
баярта	B A J EH R T EH <SPACE>
баяртайб	B A J EH R T EE P <SPACE>
баяртайбди	B A J EH R T Y NJ I <SPACE>
баярто	B A J EH R T EH <SPACE>
баяртуевна	B A J EH R T Uh J E V N A <SPACE>
баярые	B A J EH R Y J EH <SPACE>
баясан	B A J A S EH NG <SPACE>
баясуулха	B A J A S UUh L H EH <SPACE>
баһа	B A HH EH <SPACE>
баһаа	B A HH AA <SPACE>
баһаашье	B A HH AA SH J EH <SPACE>
баһал	B A HH EH L <SPACE>
бекмамбетовэй	B E K M A M BJ E T O V EE <SPACE>
би	BJ I <SPACE>
библиотекарь	BJ I B LJ I O TJ E K EH RJ <SPACE>
библиотекын	BJ I B LJ I O TJ E K Y N <SPACE>
бидэ	BJ I D EH <SPACE>
бидэнтэеэ	BJ I D EH N T EH J EE <SPACE>
бидэнэй	BJ I D EH N EE <SPACE>
бии	BJ II <SPACE>
биибди	BJ II B DJ I <SPACE>
биил	BJ II L <SPACE>
билет	BJ II LJ E T <SPACE>
биолог	B O N O L Gr EH <SPACE>
бирагүйхэн	B I R EH Gr UIs H EH NG <SPACE>
бирма	BJ I R M EH <SPACE>
бишыхан	B I SH Y H EH NG <SPACE>
бишье	BJ II SH J EH <SPACE>
блогой	B L O Gr EE <SPACE>
блогоор	B L O Gr OOh R <SPACE>
богонихон	B O Gr EH NJ I H EH NG <SPACE>
бододог	B O D EH D EH K <SPACE>
бодол	B O D EH L <SPACE>
бодолгодо	B O D EH L Gr EH D EH <SPACE>
бодолдоо	B O D EH L D OOh <SPACE>
бодолнууд	B O D EH L N UUh T <SPACE>
бодолоор	B O D EH L OOh R <SPACE>
бодолтой	B O D EH L T EE <SPACE>
бодолые	B O D EH L Y J EH <SPACE>
бодонгууд	B O D EH N G UUh T <SPACE>
бодоод	B O D OOh T <SPACE>
бодото	B O D EH T EH <SPACE>
бодоходо	B O D EH H EH D EH <SPACE>
бодхоогоо	B O D H OOh Gr OOh <SPACE>
бодхоогоод	B O D H OOh Gr OOh T <SPACE>
болбосон	B O L V EH S EH NG <SPACE>
болбосоролдо	B O L V EH S EH R EH L D EH <SPACE>
болбосоролой	B O L V EH S EH R EH L EE <SPACE>
болгогдоо	B O L Gr EH G D OOh <SPACE>
болгогдоһон	B O L Gr EH G D EH HH EH NG <SPACE>
болгожо	B O L Gr EH ZH EH <SPACE>
болгохо	B O L Gr EH H EH <SPACE>
болгоһон	B O L Gr EH HH EH NG <SPACE>
болижо	B O LJ I ZH EH <SPACE>
болингүйгөөр	B O LJ I NG EH Gr UIs Gr OOs R <SPACE>
болобо	B O L EH V EH <SPACE>
болобол	B O L EH V EH L <SPACE>
болодог	B O L EH D EH K <SPACE>
боложо	B O L EH ZH EH <SPACE>
боложол	B O L EH ZH EH L <SPACE>
боломжонууд	B O L EH M ZH EH T <SPACE>
боломжонуудые	B O L EH M ZH EH N UUh D Y J EH <SPACE>
боломжотой	B O L EH M ZH EH T EE <SPACE>
боломоор	B O L EH M OOh R <SPACE>
болон	B O L EH NG <SPACE>
болоно	B O L EH N EH <SPACE>
болонолши	B O L EH N EH L SH Y <SPACE>
болонхой	B O L EH N H EE <SPACE>
болонхойб	B O L EH N H EE P <SPACE>
болонхойбди	B O L EH N H EE B DJ I <SPACE>
болоо	B O L OOh <SPACE>
болообди	B O L EH B DJ I <SPACE>
болоогүй	B O L OOh Gr UIs <SPACE>
болоод	B O L OOh T <SPACE>
болотор	B O L EH T EH R <SPACE>
болохо	B O L EH H EH <SPACE>
болохоб	B O L EH H EH P <SPACE>
болохогүй	B O L EH H EH Gr UIs <SPACE>
болохогүйнь	B O L EH H EH Gr UIs <SPACE>
болоходоо	B O L EH H EH D OOh <SPACE>
болохош	B O L EH H EH SH <SPACE>
болохынь	B O L EH H Y NJ <SPACE>
болошонхой	B O L EH SH EH N H EE <SPACE>
болошоо	B O L EH SH OOh <SPACE>
болошооб	B O L EH SH OOh P <SPACE>
болошоод	B O L EH SH OOh T <SPACE>
болоһон	B O L EH HH EH NG <SPACE>
болоһоншье	B O L EH HH EH NG SH J EH <SPACE>
болоһоор	B O L EH HH OOh R <SPACE>
болоһыень	B O L EH HH Y J EH NJ <SPACE>
болхоева	B O L H O J EH V A <SPACE>
большой	B O LJ M EE <SPACE>
боом	B OOh M <SPACE>
борбилоо	B O R VJ I L OOh <SPACE>
борголовтоной	B O R Gr EH L EH F T EH N EE <SPACE>
борис	B O RJ I S <SPACE>
борисович	B O RJ I S O VJ I CH <SPACE>
борисовна	B O RJ I S O V N A <SPACE>
борисовтай	B O RJ I S O F T EE <SPACE>
боро	B O R EH <SPACE>
бороо	B O R OOh <SPACE>
бороотой	B O R OOh T EE <SPACE>
будаина	B Uh D A I N A <SPACE>
будда	B Uh D D EH <SPACE>
буддизм	B Uh DJ I Z M <SPACE>
буддын	B Uh D EH N UUs NG <SPACE>
будущего	B Uh D Uh SCH E V Gr EH <SPACE>
бузинаева	B Uh ZJ I N A J EH V A <SPACE>
бузинаевагай	B Uh ZJ I N A J E V A Gr EE <SPACE>
буйлуулаа	B UIh L UUh L AA <SPACE>
буйлуулдаг	B UIh L UUh L D EH K <SPACE>
булаг	B Uh L EH G <SPACE>
булагай	B Uh L EH Gr EE <SPACE>
булагууд	B Uh L EH Gr UUh T <SPACE>
булагһаань	B Uh L EH G HH AA NJ <SPACE>
булад	B Uh L EH T <SPACE>
буладай	B Uh L EH D EE <SPACE>
булат	B Uh L EH T <SPACE>
булгилһан	B Uh L GJ I L HH EH NG <SPACE>
булта	B Uh L T EH <SPACE>
бултадаа	B Uh L T EH D AA <SPACE>
бултал	B Uh L T EH L <SPACE>
бултанайнгаа	B Uh L T EH N EE NG AA <SPACE>
бултанииемнай	B Uh L T EH NJ II J EH M N EE <SPACE>
бултыемнай	B Uh L T Y J EH M N EE <SPACE>
буляалдалгын	B Uh LJ A L D EH L Gr Y N UUs NG <SPACE>
бурхад	B Uh R H EH T <SPACE>
бурхан	B Uh R H EH NG <SPACE>
бурханай	B Uh R H EH N EE <SPACE>
бурхандаа	B Uh R H EH N D AA <SPACE>
буряад	B Uh RJ AA T <SPACE>
буряадаар	B Uh RJ AA D AA R <SPACE>
буряадаараа	B Uh RJ AA D AA R AA <SPACE>
буряадай	B Uh RJ AA D EE <SPACE>
буряадаймнай	B Uh RJ AA D EE M N EE <SPACE>
буряадууд	B Uh RJ AA D UUh T <SPACE>
буряадуудай	B Uh RJ AA D UUh D EE <SPACE>
буряадуудбди	B Uh RJ AA D UUh D B DJ I <SPACE>
бурятия	B Uh RJ A TJ I J A <SPACE>
буряяадууд	B Uh RJ AA D UUh T <SPACE>
бусааха	B Uh S AA H EH <SPACE>
бусад	B Uh S EH T <SPACE>
бусадшье	B Uh S EH D SH J EH <SPACE>
бусадһаа	B Uh S EH D HH AA <SPACE>
бусажа	B Uh S EH ZH EH <SPACE>
бусалжа	B Uh S EH L ZH EH <SPACE>
бусаха	B Uh S EH H EH <SPACE>
бусахань	B Uh S EH H EH NJ <SPACE>
бусашаһан	B Uh S EH SH EH HH EH NG <SPACE>
бута	B Uh T EH <SPACE>
буудажархеоб	B UUh D EH ZH EH R HJ OOh P <SPACE>
буудажархёоб	B UUh D EH ZH EH R HJ OOh P <SPACE>
буулгагша	B UUh L Gr EH G SH EH <SPACE>
буулгадаг	B UUh L Gr EH D EH K <SPACE>
буулгажа	B UUh L Gr EH ZH EH <SPACE>
буулгаха	B UUh L Gr EH H EH <SPACE>
буулгахада	B UUh L Gr EH H EH D EH <SPACE>
буулгаһан	B UUh L Gr EH HH EH NG <SPACE>
буулгуулдаг	B UUh L Gr UUh L D EH K <SPACE>
буусада	B UUh S EH D EH <SPACE>
бууһан	B UUh HH EH NG <SPACE>
