ааб	AA P
ансамблиин	A N S A M B LJ II NG
ансамбль	A N S A M B LJ
ансамбльтаяа	A N S A M B LJ T A
антоновна	A N T O N O V N A
анужд	A N Uh ZH T
анха	A N H EH
анхан	A N H EH NG
анхарал	A N H EH R EH L
анхаралаа	A N H EH R EH L AA
анхаралаашье	A N H EH R EH L AA SH J EH
апокалипсиса	A P O Gr A LJ I P SJ I S A
арад	A R EH T
арадай	A R EH D EE
арадайнгаа	A R EH D EE NG AA
арадтаа	A R EH D T AA
арадтаяа	A R EH D T EH J AA
арадуудай	A R EH D UUh D EE
арадуудые	A R EH D UUh D Y J EH
арба	A R V EH
арбагархан	A R V EH Gr EH R H EH NG
арбадахи	A R V EH D EH HJ I
арбан	A R V EH NG
арга	A R Gr EH
аргаар	A R Gr AA R
аргагүй	A R Gr EH Gr UIs
аргагүйгөөр	A R Gr EH Gr UIs Gr OOs R
аргагүйдэнэб	A R Gr EH Gr UIs D EH NJ
аргалжа	A R Gr EH L ZH EH
аргамгүй	A R Gr EH M G UIs
аргануудые	A R Gr EH N UUh D Y J EH
аргатай	A R Gr EH T EE
аргатайб	A R Gr EH T EE P
аргатайл	A R Gr EH T EE L
аргын	A R Gr Y NG
арендэ	A RJ E N D EH
арсалааб	A R S EH L AA P
арсалан	A R S EH L EH NG
арсалановтан	A R S EH L A F T EH NG
арсаһан	A R S EH HH EH NG
артист	A R TJ I S T
артистка	A R TJ I S T N A
артистнар	A R TJ I S T N EH R
артистнарай	A R TJ I S T N EH R EE
артистнартай	A R TJ I S T N EH R T EE
артистын	A R TJ I S T Y NG
архи	A R HJ I
архида	A R HJ I D EH
архитекторнүүд	A R HJ I TJ EH K T O HJ I T
архитектурна	A R HJ I TJ EH K T Uh R N K T Uh R N K T Uh
аршаан	A R SH AA NG
аршаанда	A R SH AA N D EH
аршажа	A R SH EH ZH EH
арюун	A RJ UUh NG
арюунтай	A RJ UUh N T EH T EE
арһа	A R HH EH
асараа	A S EH R AA
асараад	A S EH R AA T
асарагдаһан	A S EH R EH G D EH HH EH NG
асарба	A S EH R V EH
асарбат	A S EH R V EH T
асуудал	A S UUh D EH L
асуудалнууд	A S UUh D EH L N UUh T
асуудалнуудни	A S UUh D EH L N UUh D NJ I
асуудалнуудшье  A S UUh D EH L N UUh T SH J EH
асуудалые	A S UUh D EH L Y J EH
асууһааб	A S UUh HH AA P
асфальтаар  A S F A LJ T AA R
ася	A S J AA
атаархадаг	A T AA R H EH D EH K
афганай	A F G A N EE
афганистан	A F G A NJ I S T A N
афиша	A FJ I SH A
аха	A H EH
ахайе	A H EE J EH
аханарынь	A H EH N EH R Y NJ
ахань	A H EH NJ
аша	A SH EH
ашаар	A SH AA R
ашагдаһан	A SH EH G D EH HH AA NJ
ашада	A SH EH D EH
ашанар	A SH EH N EH R
ашанууднай	A SH EH N UUh D N EE
аюр	A J Uh R
аюрова	A J Uh R O V A
аюша	A J Uh SH A
аюшеевшье	A J Uh SH Uh J EH F SH J EH
аяар	A J AA R
аяга	A J A Gr A
аялга	A J A L Gr EH
аялгаар	A J A L Gr AA R
аялганууд	A J A L Gr EH N UUh T
аян	A J A NG
аяншалан	A J A SH N A L EH NG
аяншалга	A J EH N SH EH L Gr EH
аяншалгада	A J A SH N A G SH EH L Gr EH D EH
аяншалгашье	A J EH N SH J EH L Gr EH SH J EH
ба	B A
баабай	B AA V EE
баар	B AA R
баатай	B AA T EE
баатарнуудаараа	B AA T EH R N UUh D AA R AA
бабасановна	B A V EH S A N O V N A
бабур	B A V Uh R
бага	B A Gr EH
багаар	B A Gr AA R
багааршье	B A Gr AA R SH J EH
багадаа	B A Gr EH D AA
багадаашье	B A Gr EH D AA SH J EH
багадаев	B A Gr EH D A J EH F
багахан	B A Gr EH H EH NG
багаһаа	B A Gr EH HH AA
багсаагдана	B A G S AA G D EH N EH
багтаагүй	B A G T AA Gr UIs
багтаажа	B A G T AA ZH EH
багтаамжа	B A G T AA M ZH EH
багтаамжын	B A G T AA M ZH Y NG
багша	B A G SH EH
багшаар	B A K SH AA R
багшалнаб	B A G SH EH L N EH P
багшанар	B A K SH EH N EH R
багшанарай	B A K SH EH N EE R EE
багшанартай	B A K SH EH N EH R T EE
багшанарһаа	B A K SH EH N EH R HH AA
багшань	B A K SH EH NJ
бадаржа	B A D EH ZH EH
бадаруулһан	B A D EH R UUh L HH EH NG
бадлуев	B A D L J EH F
бадлуевай	B A D L J EH V EE
бадмацыбикова	B A D M A C Y VJ I K O V A
базар	B A Z EH R
базаргуруев	B A Z EH Gr Y J EH F
базаржапова	B A Z EH R ZH A P O V A
базаровна	B A Z A R O V N A
баир	B A J EH R
бай	B EE
байба	B EE V EH
байбал	B EE V EH L
байг	B EE Gr
байгаа	B EE Gr AA
байгааб	B EE Gr AA P
байгаагүй	B EE Gr AA Gr UIs
байгаагүйб	B EE Gr AA Gr UIs P
байгаад	B EE Gr AA T
байгаали	B EE Gr AA LJ I
байгаалидаа	B EE Gr AA LJ I D AA
байгаалиин	B EE Gr AA LJ II NG
байгаалитай	B EE Gr AA LJ I T EH
байгаалиһаа	B EE Gr AA LJ I HH AA
байгааш	B EE Gr AA SH
байгал	B EE Gr EH L
байгуулагданхай	B EE Gr UUh L EH G D EH N H EE
байгуулга	B EE Gr UUh L Gr EH
байгуулһан	B EE Gr UUh L HH EH NG
байдаг	B EE D EH K
байдагыень	B EE D EH Gr Y J EH NJ
байдал	B EE D EH L
байдалаар	B EE D EH L AA R
байдалаараашье	B EE D EH L AA R AA SH J EH
байдалай	B EE D EH L EE
байдалда	B EE D EH L D EH
байдалтай	B EE D EH L T EE
байдалыень	B EE D EH L Y J EH NJ
байжа	B EE ZH EH
байлсаатай	B EE L S AA T EE
байна	B EE N EH
байнаб	B EE N EH P
байнабди	B EE N EH B DJ I
байнабта	B EE N EH B T EH
байналши	B EE N EH L SH Y
байнат	B EE N EH T
байнхаар	B EE N H AA R
байра	B EE R EH
байраар	B EE R AA R
байтараа	B EE T EH R AA
байтарнай	B EE T EH R N EE
байхада	B EE H EH D EH
байхадаа	B EE H EH D AA
байхадам	B EE H EH D EH M
байхадань	B EE H EH D EH NJ
байхал	B EE H EH L
байхаш	B EE H EH SH
байхаяа	B EE H EH J AA
байхаһаа	B EE H EH HH AA
байхын	B EE H Y NG
байшан	B EE SH EH NG
байшанай	B EE SH EH N EE
байшангай	B EE SH EH N G EE
байшангуудые	B EE SH EH NG UUh D Y J EH
байшангүй	B EE SH EH N G UIs
байшанда	B EE SH EH N D EH
байшандамнай	B EE SH EH N D EH M N EE
байһан	B EE HH EH NG
байһанаа	B EE HH EH N AA
байһаниинь	B EE HH EH NJ II NJ
байһаншье	B EE HH EH NG SH J EH
байһые	B EE HH Y J EH
байһыень	B EE HH Y J EH NJ
балай	B A L EE
балбар	B A L V EH R
баледэй	B A LJ E D EE
балет	B A LJ E T
балетмейстер	B A LJ E T MJ E J A M S TJ E
балетнэ	B A LJ E T N EH
баллаар	B A L AA R
балтын	B A L T Y NG
балшар	B A L SH EH R
бальжинима	B A LJ ZH Y NJ I M EH
бальжинимаевна	B A LJ ZH Y NJ I M EH J EH V N A
бамба	B A M B EH
банзаровай	B A N Z A R O V EE
бар	B A R
бараандаа	B A R AA N D AA
баргажан	B A R Gr EH ZH EH NG
барилга	B A RJ I L Gr EH
барилгын	B A RJ I L Gr Y NG
барилдаагаар	B A RJ I L D AA Gr AA R
барилдаанай	B A RJ I L D AA N EE
барилдаашадай	B A RJ I L D AA N D EH D EE
барилдаашан	B A RJ I L D AA SH EH NG
баримта	B A RJ I M T EH
барисаата	B A RJ I S AA T EH
бариха	B A RJ I H EH
барихаш	B A RJ I H EH SH
барихаһаа	B A RJ I H EH HH AA
баруун	B A R UUh NG
бархируулһан	B A R HJ I R UUh L HH EH NG
баряа	B A RJ AA
басагад	B A S EH Gr EH T
басагадаараа	B A S EH Gr EH D AA R AA
басагадта	B A S EH Gr EH T T EH
басагадые	B A S EH Gr EH D Y J EH
басагадынь	B A S EH Gr EH D Y NJ
басагамни	B A S EH Gr EH M NJ I
басаган	B A S EH Gr EH NG
басаганиинь	B A S EH Gr EH NJ II NJ
басагантай	B A S EH Gr EH N T EE
басагань	B A S EH Gr EH NJ
басагаханай	B A S EH Gr EH H EH N EE
басагаяа	B A S EH Gr EH J AA
баскетболистнуудай	B A S EH T B O LJ I T EE T
бата	B A T EH
баталжа	B A T EH L ZH EH
бато	B A T EH
батожапов	B A T EH ZH A P O V
баторова	B A T EH R O V A
баясуулба	B A J A S UUh L V EH
баялиг	B A J A LJ I K
баялигууд	B A J A LJ I Gr UUh T
баялигые	B A J A LJ I Gr Y J EH
баян	B A J A NG
баянгаза	B A J A NG EH Z EH
баянгазада	B A J A NG EH Z EH D EH
баяр	B A J EH R
баяраа	B A J A R AA
баярай	B A J A R EE
баярлааб	B A J EH R L AA P
баярлаабди	B A J EH R L EH V AA R NJ I
баярта	B A J EH R T EH
баяртайб	B A J EH R T EE P
баяртайбди	B A J EH R T Y NJ I
баярто	B A J EH R T EH
баяртуевна	B A J EH R T Uh J E V N A
баярые	B A J EH R Y J EH
баясан	B A J A S EH NG
баясуулха	B A J A S UUh L H EH
баһа	B A HH EH
баһаа	B A HH AA
баһаашье	B A HH AA SH J EH
баһал	B A HH EH L
бекмамбетовэй	B E K M A M BJ E T O V EE
би	BJ I
библиотекарь	BJ I B LJ I O TJ E K EH RJ
библиотекын	BJ I B LJ I O TJ E K Y N
бидэ	BJ I D EH
бидэнтэеэ	BJ I D EH N T EH J EE
бидэнэй	BJ I D EH N EE
бии	BJ II
биибди	BJ II B DJ I
биил	BJ II L
билет	BJ II LJ E T
биолог	B O N O L Gr EH
бирагүйхэн	B I R EH Gr UIs H EH NG
бирма	BJ I R M EH
бишыхан	B I SH Y H EH NG
бишье	BJ II SH J EH
блогой	B L O Gr EE
блогоор	B L O Gr OOh R
богонихон	B O Gr EH NJ I H EH NG
бододог	B O D EH D EH K
бодол	B O D EH L
бодолгодо	B O D EH L Gr EH D EH
бодолдоо	B O D EH L D OOh
бодолнууд	B O D EH L N UUh T
бодолоор	B O D EH L OOh R
бодолтой	B O D EH L T EE
бодолые	B O D EH L Y J EH
бодонгууд	B O D EH N G UUh T
бодоод	B O D OOh T
бодото	B O D EH T EH
бодоходо	B O D EH H EH D EH
бодхоогоо	B O D H OOh Gr OOh
бодхоогоод	B O D H OOh Gr OOh T
болбосон	B O L V EH S EH NG
болбосоролдо	B O L V EH S EH R EH L D EH
болбосоролой	B O L V EH S EH R EH L EE
болгогдоо	B O L Gr EH G D OOh
болгогдоһон	B O L Gr EH G D EH HH EH NG
болгожо	B O L Gr EH ZH EH
болгохо	B O L Gr EH H EH
болгоһон	B O L Gr EH HH EH NG
болижо	B O LJ I ZH EH
болингүйгөөр	B O LJ I NG EH Gr UIs Gr OOs R
болобо	B O L EH V EH
болобол	B O L EH V EH L
болодог	B O L EH D EH K
боложо	B O L EH ZH EH
боложол	B O L EH ZH EH L
боломжонууд	B O L EH M ZH EH T
боломжонуудые	B O L EH M ZH EH N UUh D Y J EH
боломжотой	B O L EH M ZH EH T EE
боломоор	B O L EH M OOh R
болон	B O L EH NG
болоно	B O L EH N EH
болонолши	B O L EH N EH L SH Y
болонхой	B O L EH N H EE
болонхойб	B O L EH N H EE P
болонхойбди	B O L EH N H EE B DJ I
болоо	B O L OOh
болообди	B O L EH B DJ I
болоогүй	B O L OOh Gr UIs
болоод	B O L OOh T
болотор	B O L EH T EH R
болохо	B O L EH H EH
болохоб	B O L EH H EH P
болохогүй	B O L EH H EH Gr UIs
болохогүйнь	B O L EH H EH Gr UIs
болоходоо	B O L EH H EH D OOh
болохош	B O L EH H EH SH
болохынь	B O L EH H Y NJ
болошонхой	B O L EH SH EH N H EE
болошоо	B O L EH SH OOh
болошооб	B O L EH SH OOh P
болошоод	B O L EH SH OOh T
болоһон	B O L EH HH EH NG
болоһоншье	B O L EH HH EH NG SH J EH
болоһоор	B O L EH HH OOh R
болоһыень	B O L EH HH Y J EH NJ
болхоева	B O L H O J EH V A
большой	B O LJ M EE
боом	B OOh M
борбилоо	B O R VJ I L OOh
борголовтоной	B O R Gr EH L EH F T EH N EE
борис	B O RJ I S
борисович	B O RJ I S O VJ I CH
борисовна	B O RJ I S O V N A
борисовтай	B O RJ I S O F T EE
боро	B O R EH
бороо	B O R OOh
бороотой	B O R OOh T EE
будаина	B Uh D A I N A
будда	B Uh D D EH
буддизм	B Uh DJ I Z M
буддын	B Uh D EH N UUs NG
будущего	B Uh D Uh SCH E V Gr EH
бузинаева	B Uh ZJ I N A J EH V A
бузинаевагай	B Uh ZJ I N A J E V A Gr EE
буйлуулаа	B UIh L UUh L AA
буйлуулдаг	B UIh L UUh L D EH K
булаг	B Uh L EH G
булагай	B Uh L EH Gr EE
булагууд	B Uh L EH Gr UUh T
булагһаань	B Uh L EH G HH AA NJ
булад	B Uh L EH T
буладай	B Uh L EH D EE
булат	B Uh L EH T
булгилһан	B Uh L GJ I L HH EH NG
булта	B Uh L T EH
бултадаа	B Uh L T EH D AA
бултал	B Uh L T EH L
бултанайнгаа	B Uh L T EH N EE NG AA
бултанииемнай	B Uh L T EH NJ II J EH M N EE
бултыемнай	B Uh L T Y J EH M N EE
буляалдалгын	B Uh LJ A L D EH L Gr Y N UUs NG
бурхад	B Uh R H EH T
бурхан	B Uh R H EH NG
бурханай	B Uh R H EH N EE
бурхандаа	B Uh R H EH N D AA
буряад	B Uh RJ AA T
буряадаар	B Uh RJ AA D AA R
буряадаараа	B Uh RJ AA D AA R AA
буряадай	B Uh RJ AA D EE
буряадаймнай	B Uh RJ AA D EE M N EE
буряадууд	B Uh RJ AA D UUh T
буряадуудай	B Uh RJ AA D UUh D EE
буряадуудбди	B Uh RJ AA D UUh D B DJ I
бурятия	B Uh RJ A TJ I J A
буряяадууд	B Uh RJ AA D UUh T
бусааха	B Uh S AA H EH
бусад	B Uh S EH T
бусадшье	B Uh S EH D SH J EH
бусадһаа	B Uh S EH D HH AA
бусажа	B Uh S EH ZH EH
бусалжа	B Uh S EH L ZH EH
бусаха	B Uh S EH H EH
бусахань	B Uh S EH H EH NJ
бусашаһан	B Uh S EH SH EH HH EH NG
бута	B Uh T EH
буудажархеоб	B UUh D EH ZH EH R HJ OOh P
буудажархёоб	B UUh D EH ZH EH R HJ OOh P
буулгагша	B UUh L Gr EH G SH EH
буулгадаг	B UUh L Gr EH D EH K
буулгажа	B UUh L Gr EH ZH EH
буулгаха	B UUh L Gr EH H EH
буулгахада	B UUh L Gr EH H EH D EH
буулгаһан	B UUh L Gr EH HH EH NG
буулгуулдаг	B UUh L Gr UUh L D EH K
буусада	B UUh S EH D EH
бууһан	B UUh HH EH NG
бухгалтер	B Uh H EH L T EH R
бухы	B Uh H Y
буянгаар	B Uh J EH N G AA R
бшуу	B SH UUh
бэ	B E
бэдэрдэг	B E D EH R D EH K
бэдэрхэдэнь	B E D EH R H EH D EH NJ
бэдэрхэеэ	B E D EH R H EH J EE
бэе	B E J EH
бэедэ	B E J EH D EH
бэедэшье	B E J EH D EH SH J EH
бэедээ	B E J EH D EE
бэелүүлсэһэн	B E J EH L UUs L HH EH NG
бэелүүлхын	B E J EH L UUs L H Y NG
бэелүүлхэ	B E J EH L UUs L H EH
бэелүүлхэеэ	B E J EH L UUs L H EH J EE
бэелүүлэгдэхэ	B E J EH L UUs L EH G D EH H EH
бэелүүлэлсэһэн	B E J EH L UUs L EH HH EH L HH EH NG
бэетэй	B E J EH T EE
бэеын	B E J Y NG
бэеынгээ	B E J Y NG G EE
бэеэ	B E J EE
бэзэ	B E Z EH
бэлдэгшэд	B E L D EH G SH J EH
бэлдээтэй	B E L D EE T EE
бэлдэһэн	B E L D EH HH EH NG
бэлиг	B E LJ I K
бэлигтэй	B E LJ I K T EE
бэлигэй	B E LJ I Gr EE
бэлигээ	B E LJ I Gr EE
бэлшээринүүднай	B E L SH EH RJ I N UUs D EE
бэлшээритэй	B E L SH EH RJ I T EE
бэлшээриһээ	B E L SH EH RJ I HH EE
бэлэг	B E L EH K
бэлэглээ	B E L EH G L EE
бэлэглэһэн	B E L EH G L EH HH EH NG
бэлэгүүд	B E L EH Gr UUs T
бэлэй	B E L EE
бэлэйбди	B E L EE B DJ I
бэлэн	B E L EH NG
бэрхэ	B E R H EH
бэрхэтэй	B E R H EH T EE
бэрхэшээлнүүд	B E R H EH SH EE L N UUs T
бэрхэшээлнүүдһээ	B E R H EH SH EE L N UUs D HH EE
бэшэ	B E SH EH
бэшэб	B E SH EH P
бэшэгдэһэн	B E SH EH G D EH HH EH NG
бэшэгэй	B E SH EH Gr EE
бэшэгүүд	B E SH EH Gr UUs T
бэшэжэ	B E SH EH ZH EH
бэшэжэрхидэг	B E SH EH ZH EH R HJ I D EH K
бэшэн	B E SH EH NG
бэшэшье	B E SH EH SH J EH
бэшээ	B E SH EE
бэшүүрэй	B E SH EH R EE
бүгэдые	B Us Gr EH D Y J EH
бүгэдэ	B Us Gr EH D EH
бүлгэм	B Us L Gr EH M
бүлын	B Us L Y NG
бүлынгөө	B Us L Y NG G OOs
бүлэ	B Us L EH
бүлэг	B Us L EH K
бүлэгтэ	B Us L EH G T EH
бүлэгтэеэ	B Us L EH G T EH J EE
бүлэгынь	B Us L EH Gr Y NJ
бүлэгэй	B Us L EH Gr EE
бүлэдэ	B Us L EH D EH
бүлэмни	B Us L EH M NJ I
бүри	B Us RJ I
бүридхэмэл	B Us RJ I R H EH M EH L
бүридэһэн	B Us RJ I D EH HH EH NG
бүридүүлэгдэһэн	B Us RJ I D UUs L EH G D EH HH EH NG
бүтэдэг	B Us T EH D EH K
бүтээгдэнхэй	B Us T EE G D EH N H EE
бүтээгээд	B Us T EE Gr EE T
бүтээлнүүдые	B Us T EE L N UUs D Y J EH
бүтээлнүүдээрээ	B Us T EE L N UUs D EE R EE
бүтээлэй	B Us T EE L EE
бүтээхэеэ	B Us T EE H EH J EE
бүтээһэн	B Us T EE HH EH NG
бүхы	B Us H Y
бүхыдэнь	B Us H Y D EH NJ
бүхыдөө	B Us H Y D OOs
бүхые	B Us H Y J EH
бүхэдэлхэйн	B Us H EH D EH L H EE NG
бүхэн	B Us H EH NG
бүхэндэ	B Us H EH N D EH
бүхэниие	B Us H EH NJ II J EH
бүхэниинь	B Us H EH NJ II NJ
бүхэнэй	B Us H EH N EE
бүүбэйнүүд	B UUs V EE N UUs T
бүһэтэй	B Us HH EH T EE
бөө	B OOs
вазын	V A Z Y NG
валентина	V A LJ E N TJ I N T EH
валерий	V A LJ E RJ I J
валерьевна	V A LJ E RJ J E V N A
валиджан	V A LJ I D ZH A NG
вениамин	VJ E NJ I A MJ I NG
вера	VJ E R EH
вероника	VJ E R O NJ I K EH
ветеран	VJ E TJ E R A NG
ветеринар	VJ E TJ E RJ I N A R A
видеоролик	VJ DJ E O R O LJ I K
винчиин	VJ I N CH II NG
виртаненэй	VJ I R T A NJ EH N EE
владимир	V L A DJ I M I R
выставкэ	V Y S T A F K EH
вьетнам	VJ E T N A M
вячеслав	VJ A CH E S A L V A
габаһаа	G A V EH HH AA
габьяа	G A VJ J AA
габьяата	G A VJ J AA T EH
габьяатай	G A VJ J AA T EE
гавриловна	G A V RJ I L O V A
гадаада	G A D AA D EH
гадна	G A D N EH
газаа	G A Z AA
газаашаа	G A Z AA SH AA
газар	G A Z EH R
газараа	G A Z EH R AA
газарай	G A Z EH R EE
газарнай	G A Z EH R EE
газарнууд	G A Z EH R N UUh T
газарнууднай	G A Z EH R N UUh D N EE
газарнуудта	G A Z EH R N UUh T T EH
газарта	G A Z EH R T EH
газартаа	G A Z EH R T AA
газартань	G A Z EH R T EH NJ
гайтай	G EE T EE
гайхаа	G EE H AA
гайхааб	G EE H AA P
гайхалтай	G EE H EH L T EE
гайхамшагта	G EE H EH M SH EH T K EH
гайхуулаа	G EE H UUh L AA
гал	G A L
галерей	G A LJ E RJ J EH
галнууд	G A L N UUh D
ганса	G A N S EH
гансал	G A N S EH L
гансалтайхан	G A N S EH L T EE H EH NG
гансам	G A N S EH M
гансахан	G A N S EH H EH NG
гансашье	G A N S EH SH J EH
гар	G A R
гараа	G A R AA
гараад	G A R AA T
гарагшад	G A R EH G SH EH T
гарадаг	G A R EH D EH K
гарадаггүй	G A R EH D EH Gr UIs
гаража	G A R EH ZH EH
гаралхидни	G A R EH L HJ I D NJ I
гаран	G A R EH NG
гаранхай	G A R EH NG H EE
гаратараа	G A R EH T EH R AA
гараха	G A R EH H EH
гарахаар	G A R EH H AA R
гарахаб	G A R EH H EH P
гарашаба	G A R EH SH EH V EH
гарашооб	G A R EH SH OOh P
гараһан	G A R EH HH EH NG
гарбал	G A R V EH L
гарбалтай	G A R V EH L T EE
гарбалтанай	G A R V EH L T EH N EE
гарбалынь	G A R V EH L Y NJ
гаргаа	G A R Gr AA
гаргааб	G A R Gr AA P
гаргадаггүй	G A R Gr EH D EH Gr UIs
гарганхай	G A R EH N H EE
гаргашалагдадаг	G A R Gr EH SH EH L D EH G D EH G
гарни	G A R N GJ I
гастрольдо	G A S EH R B LJ L EH
гатыповнагай	G A T Y P O V N EE
гаутамаарүндэһэлһэн	G A Us T A M AA R Us N D EH HH EH L HH EH NG
гашей	G A SH EE
гашейн	G A SH EE NG
герируд	GJ E RJ I R Uh T
германиин	GJ E R M A NJ II NG
герой	GJ E R O J
гильменд	GJ I LJ M E N D NG
гималайн	GJ I M A L EE NG
гимназиин	GJ I M N A ZJ II NG
гитис	GJ I TJ I S
гоелто	G O J EH L T EH
гоеор	G O J OOh R
гол	G O L
голливудта	G O LJ I V Uh J I L D T AA
гомбо	G O M B EH
гомдол	G O M D EH L
